biomass_mu,biomass_sd,biomass_n,biomass_etot,biomass_percent,site_code,collection_period,lowest_taxon,order,family,genus,species,guild,transient,transient_type,is_diadromous
0,NA,1,0.1668770754697681,0,AR,2017-Q3,C. variegatus,Cyprinodontiformes,Cyprinodontidae,Cyprinodontidae,variegatus,Fish,Transient,Euryhaline,Euryhaline
0,NA,1,0.1668770754697681,0,AR,2017-Q3,C. venusta,Cypriniformes,Leuciscidae,Leuciscidae,venusta,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,D. cepedianum,Clupeiformes,Clupeidae,Clupeidae,cepedianum,Fish,Transient,Euryhaline,Euryhaline
0,NA,1,0.1668770754697681,0,AR,2017-Q3,D. maculatus,Gobiiformes,Eleotridae,Eleotridae,maculatus,Fish,Transient,Catadromous,Diadromous
0,NA,1,0.1668770754697681,0,AR,2017-Q3,D. petenense,Clupeiformes,Clupeidae,Clupeidae,petenense,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,E. gracile,Perciformes,Pecidae,Pecidae,gracile,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,F. chrysotus,Cyprinodontiformes,Fundulidae,Fundulidae,chrysotus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,F. grandis,Cyprinodontiformes,Fundulidae,Fundulidae,grandis,Fish,Transient,Euryhaline,Euryhaline
0,NA,1,0.1668770754697681,0,AR,2017-Q3,F. notatus,Cyprinodontiformes,Fundulidae,Fundulidae,notatus,Fish,Resident,Freshwater,Freshwater
6.175801416051478e-4,NA,1,0.1668770754697681,0.37008087531892914,AR,2017-Q3,G. affinis,Cyprinodontiformes,Poeciliidae,Poeciliidae,affinis,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,G. dormitor,Gobiiformes,Eleotridae,Eleotridae,dormitor,Fish,Transient,Euryhaline,Euryhaline
0.01725211007988051,NA,1,0.1668770754697681,10.3382145398431,AR,2017-Q3,H. cyanoguttatus,Cichliformes,Cichlidae,Cichlidae,cyanoguttatus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,I. bubalus,Cypriniformes,Catostomidae,Catostomidae,bubalus,Fish,Resident,Freshwater,Freshwater
0.00158974565204012,NA,1,0.1668770754697681,0.9526447222093862,AR,2017-Q3,I. punctatus,Siluriformes,Ictaluridae,Ictaluridae,punctatus,Fish,Resident,Freshwater,Freshwater
0.06079443198565861,NA,1,0.1668770754697681,36.43066719291369,AR,2017-Q3,L. auritus,Centrarchiformes,Centrarchidae,Centrarchidae,auritus,Fish,Resident,Freshwater,Freshwater
0.02853761290266358,NA,1,0.1668770754697681,17.10097856301031,AR,2017-Q3,L. cyanellus,Centrarchiformes,Centrarchidae,Centrarchidae,cyanellus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. gulosus,Centrarchiformes,Centrarchidae,Centrarchidae,gulosus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. humilis,Centrarchiformes,Centrarchidae,Centrarchidae,humilis,Fish,Resident,Freshwater,Freshwater
0.04739327034266833,NA,1,0.1668770754697681,28.400108408691654,AR,2017-Q3,L. macrochirus,Centrarchiformes,Centrarchidae,Centrarchidae,macrochirus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. marginatus,Centrarchiformes,Centrarchidae,Centrarchidae,marginatus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. megalotis,Centrarchiformes,Centrarchidae,Centrarchidae,megalotis,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. microlophus,Centrarchiformes,Centrarchidae,Centrarchidae,microlophus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. miniatus,Centrarchiformes,Centrarchidae,Centrarchidae,miniatus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,L. parva,Cyprinodontiformes,Fundulidae,Fundulidae,parva,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,M. beryllina,Atheriniformes,Atherinopsidae,Atherinopsidae,beryllina,Fish,Transient,Euryhaline,Euryhaline
0,NA,1,0.1668770754697681,0,AR,2017-Q3,M. cephalus,Mugiliformes,Mugilidae,Mugilidae,cephalus,Fish,Transient,Catadromous,Diadromous
0,NA,1,0.1668770754697681,0,AR,2017-Q3,M. salmoides,Centrarchiformes,Centrarchidae,Centrarchidae,salmoides,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,N. gyrinus,Siluriformes,Ictaluridae,Ictaluridae,gyrinus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,N. texanus,Cypriniformes,Leuciscidae,Leuciscidae,texanus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,O. aureus,Cichliformes,Cichlidae,Cichlidae,aureus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,P. annularis,Centrarchiformes,Centrarchidae,Centrarchidae,annularis,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,P. latipinna,Cyprinodontiformes,Poeciliidae,Poeciliidae,latipinna,Fish,Transient,Euryhaline,Euryhaline
0,NA,1,0.1668770754697681,0,AR,2017-Q3,P. nigromaculatus,Centrarchiformes,Centrarchidae,Centrarchidae,nigromaculatus,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,P. olivaris,Siluriformes,Ictaluridae,Ictaluridae,olivaris,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,P. vigilax,Cypriniformes,Leuciscidae,Leuciscidae,vigilax,Fish,Resident,Freshwater,Freshwater
0,NA,1,0.1668770754697681,0,AR,2017-Q3,R. crocro,Perciformes,Haemulidae,Haemulidae,crocro,Fish,Transient,Amphidromous,Diadromous
0,NA,1,0.1668770754697681,0,AR,2017-Q3,T. maculatus,Pleuronectiformes,Achiridae,Achiridae,maculatus,Fish,Transient,Amphidromous,Diadromous
0,0,2,12.85635382845681,0,AR,2017-Q4,A. melas,Siluriformes,Ictaluridae,Ictaluridae,melas,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,A. mexicanus,Characiformes,Characidae,Characidae,mexicanus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,A. mitchilli,Clupeiformes,Engraulidae,Engraulidae,mitchilli,Fish,Transient,Amphidromous,Diadromous
0,0,2,12.85635382845681,0,AR,2017-Q4,A. monticola,Mugiliformes,Mugilidae,Mugilidae,monticola,Fish,Transient,Amphidromous,Diadromous
0,0,2,12.85635382845681,0,AR,2017-Q4,A. natalis,Siluriformes,Ictaluridae,Ictaluridae,natalis,Fish,Resident,Freshwater,Freshwater
0.20219406485851055,0.2859455887542508,2,12.85635382845681,1.5727170203651788,AR,2017-Q4,A. rostrata,Anguilliformes,Anguillidae,Anguillidae,rostrata,Fish,Transient,Catadromous,Diadromous
0,0,2,12.85635382845681,0,AR,2017-Q4,A. sayanus,Percopsiformes,Aphredoderidae,Aphredoderidae,sayanus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,A. xenica,Cyprinodontiformes,Fundulidae,Fundulidae,xenica,Fish,Transient,Euryhaline,Euryhaline
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Aeshnidae,Odonata,Aeshnidae,Aeshnidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Ameletidae,Ephemeroptera,Ameletidae,Ameletidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Ampullariidae,Architaenioglossa,Ampullariidae,Ampullariidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Anthicidae,Coleoptera,Anthicidae,Anthicidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Aphididae,Hemiptera,Aphididae,Aphididae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Asellidae,Isopoda,Asellidae,Asellidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,B. patronus,Clupeiformes,Clupeidae,Clupeidae,patronus,Fish,Transient,Euryhaline,Euryhaline
0.034637738333333334,NA,NA,12.85635382845681,0.26942116556145695,AR,2017-Q4,Baetidae,Ephemeroptera,Baetidae,Baetidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Belostomatidae,Hemiptera,Belostomatidae,Belostomatidae,NA,Invertebrate,Transient,Euryhaline,Euryhaline
0,0,2,12.85635382845681,0,AR,2017-Q4,C. carpio,Cyprinodontiformes,Cyprinidae,Cyprinidae,carpio,Fish,Resident,Freshwater,Freshwater
0.030813064989442585,0.005134763152374662,2,12.85635382845681,0.2396718805392522,AR,2017-Q4,C. lutrensis,Cypriniformes,Leuciscidae,Leuciscidae,lutrensis,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,C. variegatus,Cyprinodontiformes,Cyprinodontidae,Cyprinodontidae,variegatus,Fish,Transient,Euryhaline,Euryhaline
0,0,2,12.85635382845681,0,AR,2017-Q4,C. venusta,Cypriniformes,Leuciscidae,Leuciscidae,venusta,Fish,Resident,Freshwater,Freshwater
0.0029815903333333333,NA,NA,12.85635382845681,0.023191570278143343,AR,2017-Q4,Caenidae,Ephemeroptera,Caenidae,Caenidae,NA,Invertebrate,Resident,Freshwater,Freshwater
7.849093333333334e-4,NA,NA,12.85635382845681,0.006105225041301999,AR,2017-Q4,Calopterygidae,Odonata,Calopterygidae,Calopterygidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.005582984666666666,NA,NA,12.85635382845681,0.043425879072408906,AR,2017-Q4,Cambaridae,Decapoda,Cambaridae,Cambaridae,ninae,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Carabidae,Coleoptera,Carabidae,Carabidae,NA,Invertebrate,Resident,Freshwater,Freshwater
8.562516666666666e-4,NA,NA,12.85635382845681,0.00666014391087621,AR,2017-Q4,Ceratopogonidae,Diptera,Ceratopogonidae,Ceratopogonidae,NA,Invertebrate,Transient,Euryhaline,Euryhaline
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Chaoboridae,Diptera,Chaoboridae,Chaoboridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.021906848333333333,NA,NA,12.85635382845681,0.17039705522761647,AR,2017-Q4,Chironomidae,Diptera,Chironomidae,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Chrysomelidae,Coleoptera,Chrysomelidae,Chrysomelidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Cladocera,Diplostraca,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0.05235427,NA,NA,12.85635382845681,0.40722486871912933,AR,2017-Q4,Coenagrionidae,Odonata,Coenagrionidae,Coenagrionidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Collembola,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Copepoda,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0.10108665100000001,NA,NA,12.85635382845681,0.7862777607773243,AR,2017-Q4,Corbiculidae,Bivalva,Corbiculidae,Corbiculidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Corduliidae,Odonata,Corduliidae,Corduliidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Corixidae,Hemiptera,Corixidae,Corixidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Corxidae,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Corydalidae,Megaloptera,Corydalidae,Corydalidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Crambidae,Lepidoptera,Crambidae,Crambidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Culicidae,Diptera,Culicidae,Culicidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Curclionidae,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,D. cepedianum,Clupeiformes,Clupeidae,Clupeidae,cepedianum,Fish,Transient,Euryhaline,Euryhaline
0,0,2,12.85635382845681,0,AR,2017-Q4,D. maculatus,Gobiiformes,Eleotridae,Eleotridae,maculatus,Fish,Transient,Catadromous,Diadromous
0,0,2,12.85635382845681,0,AR,2017-Q4,D. petenense,Clupeiformes,Clupeidae,Clupeidae,petenense,Fish,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Dipseudopsidae,Trichoptera,Dipseudopsidae,Dipseudopsidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Diptera,Diptera,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
2.05425e-4,NA,NA,12.85635382845681,0.0015978480581741881,AR,2017-Q4,Dolichopodidae,Diptera,Dolichopodidae,Dolichopodidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Dreissenidae,Veneroida,Dreissenidae,Dreissenidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Dryopidae,Coleoptera,Dryopidae,Dryopidae,NA,Invertebrate,Resident,Freshwater,Freshwater
1.14629e-4,NA,NA,12.85635382845681,8.916136062331702e-4,AR,2017-Q4,Dytiscidae,Coleoptera,Dytiscidae,Dytiscidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,E. gracile,Perciformes,Pecidae,Pecidae,gracile,Fish,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Elateridae,Coleoptera,Elateridae,Elateridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.23685891533333334,NA,NA,12.85635382845681,1.84234907108001,AR,2017-Q4,Elmidae,Coleoptera,Elmidae,Elmidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Ephemerellidae,Ephemeroptera,Ephemerellidae,Ephemerellidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Ephemeroptera,Ephemeroptera,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,F. chrysotus,Cyprinodontiformes,Fundulidae,Fundulidae,chrysotus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,F. grandis,Cyprinodontiformes,Fundulidae,Fundulidae,grandis,Fish,Transient,Euryhaline,Euryhaline
0,0,2,12.85635382845681,0,AR,2017-Q4,F. notatus,Cyprinodontiformes,Fundulidae,Fundulidae,notatus,Fish,Resident,Freshwater,Freshwater
0.0026812529870505752,6.592132539381213e-4,2,12.85635382845681,0.020855469776475614,AR,2017-Q4,G. affinis,Cyprinodontiformes,Poeciliidae,Poeciliidae,affinis,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,G. dormitor,Gobiiformes,Eleotridae,Eleotridae,dormitor,Fish,Transient,Euryhaline,Euryhaline
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Gerridae,Hemiptera,Gerridae,Gerridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.001085279,NA,NA,12.85635382845681,0.008441576939161371,AR,2017-Q4,Glossostomatidae,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0.4872054393333333,NA,NA,12.85635382845681,3.789608203337806,AR,2017-Q4,Gomphidae,Odonata,Gomphidae,Gomphidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Gyrinidae,Coleoptera,Gyrinidae,Gyrinidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.08565814280022305,0.03551270007915009,2,12.85635382845681,0.6662708878673175,AR,2017-Q4,H. cyanoguttatus,Cichliformes,Cichlidae,Cichlidae,cyanoguttatus,Fish,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Haliplidae,Coleoptera,Haliplidae,Haliplidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hebridae,Hemiptera,Hebridae,Hebridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Helophoridae,Coleoptera,Helophoridae,Helophoridae,NA,Invertebrate,Resident,Freshwater,Freshwater
4.0931333333333334e-4,NA,NA,12.85635382845681,0.003183743530979534,AR,2017-Q4,Heptageniidae,Ephemeroptera,Heptageniidae,Heptageniidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.012665956666666667,NA,NA,12.85635382845681,0.09851904230133501,AR,2017-Q4,Hirudinea,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0.008855482999999999,NA,NA,12.85635382845681,0.06888020599121106,AR,2017-Q4,Hyalellidae,Amphipoda,Hyalellidae,Hyalellidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydracarina,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydraenidae,Coleoptera,Hydraenidae,Hydraenidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydrobiidae,Neotaenioglossa,Hydrobiidae,Hydrobiidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydrobiidae.Cochliopidae,Neotaenioglossa,Hydrobiidae,Hydrobiidae,NA,Invertebrate,Resident,Freshwater,Freshwater
3.1084166666666666e-4,NA,NA,12.85635382845681,0.002417805785483566,AR,2017-Q4,Hydrochidae,Coleoptera,Hydrochidae,Hydrochidae,NA,Invertebrate,Transient,Euryhaline,Euryhaline
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydrometridae,Hemiptera,Hydrometridae,Hydrometridae,NA,Invertebrate,Transient,Euryhaline,Euryhaline
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Hydrophilidae,Coleoptera,Hydrophilidae,Hydrophilidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.022614514333333332,NA,NA,12.85635382845681,0.17590146191587686,AR,2017-Q4,Hydropsychidae,Trichoptera,Hydropsychidae,Hydropsychidae,NA,Invertebrate,Resident,Freshwater,Freshwater
7.602966666666666e-4,NA,NA,12.85635382845681,0.00591378144076739,AR,2017-Q4,Hydroptilidae,Trichoptera,Hydroptilidae,Hydroptilidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,I. bubalus,Cypriniformes,Catostomidae,Catostomidae,bubalus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,I. punctatus,Siluriformes,Ictaluridae,Ictaluridae,punctatus,Fish,Resident,Freshwater,Freshwater
3.22784e-4,NA,NA,12.85635382845681,0.0025106963008869275,AR,2017-Q4,Isonychiidae,Ephemeroptera,Isonychiidae,Isonychiidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.021059730287163753,0.029782956192026415,2,12.85635382845681,0.16380795494714245,AR,2017-Q4,L. auritus,Centrarchiformes,Centrarchidae,Centrarchidae,auritus,Fish,Resident,Freshwater,Freshwater
0.027249919842988985,0.01627636809146821,2,12.85635382845681,0.21195682855797598,AR,2017-Q4,L. cyanellus,Centrarchiformes,Centrarchidae,Centrarchidae,cyanellus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. gulosus,Centrarchiformes,Centrarchidae,Centrarchidae,gulosus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. humilis,Centrarchiformes,Centrarchidae,Centrarchidae,humilis,Fish,Resident,Freshwater,Freshwater
0.16658846742666933,0.10636361733005704,2,12.85635382845681,1.2957675998146163,AR,2017-Q4,L. macrochirus,Centrarchiformes,Centrarchidae,Centrarchidae,macrochirus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. marginatus,Centrarchiformes,Centrarchidae,Centrarchidae,marginatus,Fish,Resident,Freshwater,Freshwater
0.28264140973519636,0.007280365127887901,2,12.85635382845681,2.1984569926006987,AR,2017-Q4,L. megalotis,Centrarchiformes,Centrarchidae,Centrarchidae,megalotis,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. microlophus,Centrarchiformes,Centrarchidae,Centrarchidae,microlophus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. miniatus,Centrarchiformes,Centrarchidae,Centrarchidae,miniatus,Fish,Resident,Freshwater,Freshwater
0.7365566473033726,1.0416484000724857,2,12.85635382845681,5.729125513588824,AR,2017-Q4,L. oculatus,Lepisosteiformes,Lepisosteidae,Lepisosteidae,oculatus,Fish,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,L. parva,Cyprinodontiformes,Fundulidae,Fundulidae,parva,Fish,Resident,Freshwater,Freshwater
0.0031921123333333336,NA,NA,12.85635382845681,0.024829064102667848,AR,2017-Q4,Leptoceridae,Trichoptera,Leptoceridae,Leptoceridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.004932349,NA,NA,12.85635382845681,0.03836506886643494,AR,2017-Q4,Leptohyphidae,Ephemeroptera,Leptohyphidae,Leptohyphidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.006269704333333333,NA,NA,12.85635382845681,0.04876735983615898,AR,2017-Q4,Leptophlebiidae,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0.09724404066666666,NA,NA,12.85635382845681,0.7563889572751373,AR,2017-Q4,Libellulidae,Odonata,Libellulidae,Libellulidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Limoniidae,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Lymnaeidae,Basommatophora,Lymnaeidae,Lymnaeidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,0,2,12.85635382845681,0,AR,2017-Q4,M. beryllina,Atheriniformes,Atherinopsidae,Atherinopsidae,beryllina,Fish,Transient,Euryhaline,Euryhaline
0,0,2,12.85635382845681,0,AR,2017-Q4,M. cephalus,Mugiliformes,Mugilidae,Mugilidae,cephalus,Fish,Transient,Catadromous,Diadromous
0.17378241833333333,NA,NA,12.85635382845681,1.3517239852925937,AR,2017-Q4,M. ohione,Decapoda,Palaemonidae,Palaemonidae,ohione,Invertebrate,Transient,Amphidromous,Diadromous
0.01766460089285917,0.024981518156589323,2,12.85635382845681,0.13739977235038117,AR,2017-Q4,M. salmoides,Centrarchiformes,Centrarchidae,Centrarchidae,salmoides,Fish,Resident,Freshwater,Freshwater
0.013426114666666667,NA,NA,12.85635382845681,0.10443174515739233,AR,2017-Q4,Macromiidae,NA,Macromiidae,Macromiidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Macroveliidae,Hemiptera,Macroveliidae,Macroveliidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Melyridae,Coleoptera,Melyridae,Melyridae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Mesovelidae,NA,NA,NA,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Mesoveliidae,Hemiptera,Mesoveliidae,Mesoveliidae,NA,Invertebrate,Resident,Freshwater,Freshwater
0,NA,NA,12.85635382845681,0,AR,2017-Q4,Mysidae,Mysida,Mysidae,Mysidae,NA,Invertebrate,Resident,Freshwater,Freshwater
