pass1,pass2,pass3,site_code,collection_date,genus,species,common_name,order,family,lowest_taxon,guild,transient_type,transient,is_diadromous
5,1,0,TR,2017-09-25,Fundulus,grandis,Unidentified stripe,Cyprinodontiformes,Fundulidae,F. grandis,Fish,Euryhaline,Transient,Euryhaline
2,1,0,TR,2017-09-25,Astyanax,mexicanus,Mexican tetra,Characiformes,Characidae,A. mexicanus,Fish,Freshwater,Freshwater,Freshwater
7,2,2,TR,2017-09-25,Cyprinodon,variegatus,Sheepshead minnow,Cyprinodontiformes,Cyprinodontidae,C. variegatus,Fish,Euryhaline,Transient,Euryhaline
231,51,68,TR,2017-09-25,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
58,121,9,MR,2017-09-26,Anchoa,mitchilli,Bay Anchovy,Clupeiformes,Engraulidae,A. mitchilli,Fish,Anadromous,Transient,Diadromous
0,6,0,MR,2017-09-26,Gambusia,affinis,Mosquito fish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
8,0,0,MR,2017-09-26,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
16,0,0,GC,2017-10-03,Fundulus,notatus,Blackstripe topminnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
4,0,0,GC,2017-10-03,Gambusia,affinis,Mosquito fish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
6,0,0,GC,2017-10-03,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
4,0,0,GC,2017-10-03,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,GC,2017-10-03,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
9,0,0,GC,2017-10-03,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,1,1,PD,2017-10-04,Ameiurus,melas,Black bullhead,Siluriformes,Ictaluridae,A. melas,Fish,Freshwater,Freshwater,Freshwater
0,0,1,PD,2017-10-04,Fundulus,notatus,Blackstripe topminnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PD,2017-10-04,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
5,3,4,PD,2017-10-04,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
1,4,1,PD,2017-10-04,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
4,0,1,PD,2017-10-04,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
1,1,0,PD,2017-10-04,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
2,1,0,PD,2017-10-04,Micropterus,salmoides,Spotted Bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
1,0,1,PD,2017-10-04,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
3,0,0,EM,2017-10-10,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,EM,2017-10-10,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
4,3,0,EM,2017-10-10,Dorosoma,cepedianum,Gizzard shad,Clupeiformes,Clupeidae,D. cepedianum,Fish,Freshwater,Freshwater,Freshwater
0,1,1,EM,2017-10-10,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
28,20,9,EM,2017-10-10,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,EM,2017-10-10,Ictiobus,bubalus,Smallmouth buffalo,Cypriniformes,Catostomidae,I. bubalus,Fish,Freshwater,Freshwater,Freshwater
3,1,0,EM,2017-10-10,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
3,4,0,EM,2017-10-10,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
29,11,5,EM,2017-10-10,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,EM,2017-10-10,Notropis,texanus,Mimic shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
2,2,0,EM,2017-10-10,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
4,14,6,EM,2017-10-10,Pimephales,vigilax,Bluntnose Minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2017-10-10,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
6,0,0,PL,2017-10-10,Ameiurus,natalis,Yellow bullhead catfish,Siluriformes,Ictaluridae,A. natalis,Fish,Freshwater,Freshwater,Freshwater
15,7,0,PL,2017-10-10,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
20,20,0,PL,2017-10-10,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,PL,2017-10-10,Lepisosteus,oculatus,Longnose gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PL,2017-10-10,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
12,5,0,PL,2017-10-10,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
63,6,0,PL,2017-10-10,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
1,0,0,PL,2017-10-10,Micropterus,salmoides,Largemouth bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
89,18,0,PL,2017-10-10,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,WM,2017-10-10,Ameiurus,natalis,Yellow bullhead,Siluriformes,Ictaluridae,A. natalis,Fish,Freshwater,Freshwater,Freshwater
0,0,1,WM,2017-10-10,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
0,0,0,WM,2017-10-10,Dorosoma,cepedianum,Gizzard shad,Clupeiformes,Clupeidae,D. cepedianum,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2017-10-10,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,WM,2017-10-10,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
1,0,1,WM,2017-10-10,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
0,0,0,WM,2017-10-10,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
7,2,2,WM,2017-10-10,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
8,5,0,WM,2017-10-10,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
0,0,0,WM,2017-10-10,Pimephales,vigilax,Bluntnose Minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
5,1,0,MR,2017-10-31,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,MR,2017-10-31,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
81,33,65,MR,2017-10-31,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,MR,2017-10-31,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
2,1,2,MR,2017-10-31,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
3,0,1,MR,2017-10-31,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
3,0,0,MR,2017-10-31,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
1,1,0,MR,2017-10-31,Mugil,cephalus,Striped Mullet,Mugiliformes,Mugilidae,M. cephalus,Fish,Anadromous,Transient,Diadromous
41,40,26,MR,2017-10-31,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,0,0,MR,2017-10-31,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
48,37,19,MR,2017-10-31,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
1,1,0,AR,2017-11-01,Anguilla,rostrata,American eel,Anguilliformes,Anguillidae,A. rostrata,Fish,Catadromous,Transient,Diadromous
24,16,19,AR,2017-11-01,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
2,2,6,AR,2017-11-01,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
4,14,2,AR,2017-11-01,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,AR,2017-11-01,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,AR,2017-11-01,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
0,0,1,AR,2017-11-01,Lepomis,cyanellus,Green sunfish,Centrarchiformes,Centrarchidae,L. cyanellus,Fish,Freshwater,Freshwater,Freshwater
7,2,5,AR,2017-11-01,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
14,7,8,AR,2017-11-01,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
4,0,0,AR,2017-11-01,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
0,0,1,AR,2017-11-01,Micropterus,salmoides,Spotted Bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
10,1,3,AR,2017-11-01,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
5,0,2,PD,2017-11-01,Fundulus,notatus,Black stripe minnow,Cyprinodontiformes,Fundulidae,F. notatus,Fish,Freshwater,Freshwater,Freshwater
6,3,4,PD,2017-11-01,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,PD,2017-11-01,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,PD,2017-11-01,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
9,3,1,PD,2017-11-01,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
2,3,0,PD,2017-11-01,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
3,0,2,PD,2017-11-01,Lepomis,microlophus,Red ear sunfish,Centrarchiformes,Centrarchidae,L. microlophus,Fish,Freshwater,Freshwater,Freshwater
2,0,0,PD,2017-11-01,Micropterus,salmoides,Spotted Bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
2,0,0,PD,2017-11-01,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
4,2,4,EM,2017-11-03,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2017-11-03,Ameiurus,natalis,Yellow bullhead,Siluriformes,Ictaluridae,A. natalis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2017-11-03,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
5,2,4,EM,2017-11-03,Dorosoma,cepedianum,Gizzard shad,Clupeiformes,Clupeidae,D. cepedianum,Fish,Freshwater,Freshwater,Freshwater
0,3,1,EM,2017-11-03,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
53,46,40,EM,2017-11-03,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,1,0,EM,2017-11-03,Ictalurus,punctatus,Channel catfish,Siluriformes,Ictaluridae,I. punctatus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,EM,2017-11-03,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
2,1,0,EM,2017-11-03,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
5,6,0,EM,2017-11-03,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
15,51,30,EM,2017-11-03,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,EM,2017-11-03,Lepomis,miniatus,Redspot sunfish,Centrarchiformes,Centrarchidae,L. miniatus,Fish,Freshwater,Freshwater,Freshwater
1,3,1,EM,2017-11-03,Noturus,gyrinus,Tadpole madtom,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
32,18,9,EM,2017-11-03,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
7,15,11,EM,2017-11-03,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
1,0,0,EM,2017-11-03,Pylodictis,olivaris,Flathead catfish,Siluriformes,Ictaluridae,P. olivaris,Fish,Freshwater,Freshwater,Freshwater
0,1,0,WM,2017-11-03,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,WM,2017-11-03,Cyprinella,venusta,Blacktail shiner,Cypriniformes,Leuciscidae,C. venusta,Fish,Freshwater,Freshwater,Freshwater
0,0,0,WM,2017-11-03,Cyprinodon,variegatus,Sheepshead minnow,Cyprinodontiformes,Cyprinodontidae,C. variegatus,Fish,Euryhaline,Transient,Euryhaline
9,19,11,WM,2017-11-03,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
2,1,0,WM,2017-11-03,Lepisosteus,oculatus,Spotted gar,Lepisosteiformes,Lepisosteidae,L. oculatus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,WM,2017-11-03,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
10,5,6,WM,2017-11-03,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
3,1,0,WM,2017-11-03,Lepomis,microlophus,Red ear sunfish,Centrarchiformes,Centrarchidae,L. microlophus,Fish,Freshwater,Freshwater,Freshwater
2,0,2,WM,2017-11-03,Lepomis,miniatus,Redspot sunfish,Centrarchiformes,Centrarchidae,L. miniatus,Fish,Freshwater,Freshwater,Freshwater
27,26,6,WM,2017-11-03,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
3,0,0,GC,2017-11-04,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
2,0,0,GC,2017-11-04,Etheostoma,gracile,Slough darter,Perciformes,Pecidae,E. gracile,Fish,Freshwater,Freshwater,Freshwater
2,0,0,GC,2017-11-04,Fundulus,chrysotus,Golden topminnow,Cyprinodontiformes,Fundulidae,F. chrysotus,Fish,Freshwater,Freshwater,Freshwater
40,38,0,GC,2017-11-04,Gambusia,affinis,Mosquitofish,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
1,0,0,GC,2017-11-04,Lepomis,auritus,Redbreasted Sunfish,Centrarchiformes,Centrarchidae,L. auritus,Fish,Freshwater,Freshwater,Freshwater
13,8,0,GC,2017-11-04,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
59,34,0,GC,2017-11-04,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
3,0,0,GC,2017-11-04,Macrobrachium,ohione,Macrobrachium,Decapoda,Palaemonidae,M. ohione,Invertebrate,Amphidromous,Transient,Diadromous
0,1,0,GC,2017-11-04,Micropterus,salmoides,Largemouth bass,Centrarchiformes,Centrarchidae,M. salmoides,Fish,Freshwater,Freshwater,Freshwater
0,3,0,GC,2017-11-04,Notropis,texanus,Ironcolor shiner,Cypriniformes,Leuciscidae,N. texanus,Fish,Freshwater,Freshwater,Freshwater
1,0,0,GC,2017-11-04,Noturus,gyrinus,Tadpole madtom,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
13,11,0,GC,2017-11-04,Palaemonetes,pugio,Grass shrimp,Decapoda,Palaemonidae,P. pugio,Invertebrate,Freshwater,Freshwater,Freshwater
1,1,0,GC,2017-11-04,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
2,0,1,SF,2017-11-05,Procambarus,clarkii,Crawdad,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
0,2,0,SF,2017-11-05,Pimephales,vigilax,Unidentified minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
2,1,NA,SF,2017-11-05,Astyanax,mexicanus,Mexican tetra,Characiformes,Characidae,A. mexicanus,Fish,Freshwater,Freshwater,Freshwater
6,8,1,SF,2017-11-05,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,SF,2017-11-05,Cyprinodon,variegatus,Sheepshead minnow,Cyprinodontiformes,Cyprinodontidae,C. variegatus,Fish,Euryhaline,Transient,Euryhaline
47,34,14,SF,2017-11-05,Gambusia,affinis,Gambusia spp.,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
101,113,71,SF,2017-11-05,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
1,2,0,SF,2017-11-05,Lepomis,macrochirus,Bluegill sunfish,Centrarchiformes,Centrarchidae,L. macrochirus,Fish,Freshwater,Freshwater,Freshwater
13,14,3,SF,2017-11-05,Pimephales,vigilax,Bullhead minnow,Cypriniformes,Leuciscidae,P. vigilax,Fish,Freshwater,Freshwater,Freshwater
138,158,94,SF,2017-11-05,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
29,28,21,TR,2017-11-05,Cyprinodon,variegatus,Sheepshead minnow,Cyprinodontiformes,Cyprinodontidae,C. variegatus,Fish,Euryhaline,Transient,Euryhaline
1,0,0,TR,2017-11-05,Dormitator,maculatus,Fat sleeper,Gobiiformes,Eleotridae,D. maculatus,Fish,Catadromous,Transient,Diadromous
2,8,1,TR,2017-11-05,Fundulus,grandis,Plains killifish,Cyprinodontiformes,Fundulidae,F. grandis,Fish,Euryhaline,Transient,Euryhaline
8,4,0,TR,2017-11-05,Gambusia,affinis,Gambusia spp.,Cyprinodontiformes,Poeciliidae,G. affinis,Fish,Freshwater,Freshwater,Freshwater
0,1,1,TR,2017-11-05,Herichthys,cyanoguttatus,Rio grande cichlid,Cichliformes,Cichlidae,H. cyanoguttatus,Fish,Freshwater,Freshwater,Freshwater
0,1,0,TR,2017-11-05,Lepomis,megalotis,Longear sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,1,0,TR,2017-11-05,Noturus,gyrinus,Tadpole madtom,Siluriformes,Ictaluridae,N. gyrinus,Fish,Freshwater,Freshwater,Freshwater
3,2,2,TR,2017-11-05,Oreochromis,aureus,Blue tilapia,Cichliformes,Cichlidae,O. aureus,Fish,Freshwater,Freshwater,Freshwater
63,55,35,TR,2017-11-05,Poecilia,formosa,Amazon molly,Cyprinodontiformes,Poeciliidae,P. formosa,Fish,Freshwater,Freshwater,Freshwater
50,32,14,TR,2017-11-05,Poecilia,latipinna,Sailfin molly,Cyprinodontiformes,Poeciliidae,P. latipinna,Fish,Euryhaline,Transient,Euryhaline
8,3,3,PL,2017-11-11,Lepomis,gulosus,Warmouth,Centrarchiformes,Centrarchidae,L. gulosus,Fish,Freshwater,Freshwater,Freshwater
1,2,1,PL,2017-11-11,Procambarus,clarkii,Crawfish,Decapoda,Cambaridae,P. clarkii,Invertebrate,Freshwater,Freshwater,Freshwater
0,0,1,PL,2017-11-11,Lepomis,megalotis,Unidentified sunfish,Centrarchiformes,Centrarchidae,L. megalotis,Fish,Freshwater,Freshwater,Freshwater
0,0,1,PL,2017-11-11,Trinectes,maculatus,Unidentified flatfish,Pleuronectiformes,Achiridae,T. maculatus,Fish,Freshwater,Freshwater,Freshwater
17,2,0,PL,2017-11-11,Ameiurus,natalis,Yellow bullhead catfish,Siluriformes,Ictaluridae,A. natalis,Fish,Freshwater,Freshwater,Freshwater
1,2,0,PL,2017-11-11,Anguilla,rostrata,American eel,Anguilliformes,Anguillidae,A. rostrata,Fish,Catadromous,Transient,Diadromous
0,1,0,PL,2017-11-11,Rhonciscus,crocro,Freshwater drum,Perciformes,Haemulidae,R. crocro,Fish,Freshwater,Freshwater,Freshwater
47,10,38,PL,2017-11-11,Cyprinella,lutrensis,Red shiner,Cypriniformes,Leuciscidae,C. lutrensis,Fish,Freshwater,Freshwater,Freshwater
